Field 2,Field 3,custom_web_address
"1100 East 57th Street, Chicago, IL 60637 (Franke Institute for the Humanities)","1100 East 57th Street, Rm S-102",http://maps.uchicago.edu/north/rlibrary.html
"5235 S. Harper Ct. Chicago, IL, 60615",,https://maps.uchicago.edu/?location=Harper+Court
"5710 South Woodlawn Avenue, Room 005 (RSO Office)","5710 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/events.html
"5710 South Woodlawn Avenue, Room 007 (RSO Conference Room)","5710 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/events.html
"5710 South Woodlawn Avenue, Room 102 (Shared Meeting Room)","5710 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/events.html
"5710 South Woodlawn Avenue, Room 107 (Community Lounge)","5710 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/events.html
"5710 South Woodlawn Avenue, Room 201 (Conference Room)","5710 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/events.html
"5710 South Woodlawn Avenue, Room 301 (LGBTQ Lounge)","5710 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/events.html
"5710 South Woodlawn Avenue, Room 302 (Amandla Lounge)","5710 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/events.html
"5727 South University Avenue, Math/Stat Building (Computer Lab)","5727 S University Ave, Chicago, IL 60637",http://maps.uchicago.edu/eastquad/statmath.html
"5727 South University Avenue, Math/Stat Building (Lecture Hall)","5727 S University Ave, Chicago, IL 60637",http://maps.uchicago.edu/eastquad/statmath.html
"5727 South University Avenue, Math/Stat Building (Library)","5727 S University Ave, Chicago, IL 60637",http://maps.uchicago.edu/eastquad/statmath.html
5734 S. Ellis Av. Hind Laboratory for Geophysical Sciences Room 158,5734 S. Ellis Av. Hind Laboratory for Geophysical Sciences Room 158,http://maps.uchicago.edu/westquad/
5737 S. University,"5737 S. University Avenue, Chicago, IL 60637",https://maps.uchicago.edu/?location=Institute+on+the+Formation+of+Knowledge
57th Street Books,,
"5811 S Ellis Ave, Room 211","5811 S Ellis Ave. Chicago, IL 60637",https://maps.uchicago.edu/location/cobb-lecture-hall/
"5811 S Ellis Ave, Room 307","5811 S Ellis Ave. Chicago, IL 60637",http://maps.uchicago.edu/mainquad/cobbhall.html
University of Chicago Hospitals Program on Medicine and Religion,"5841 S. Maryland Ave, Chicago, IL 60637",pmr.uchicago.edu
"6045 South Kenwood Avenue, Room 105","6045 South Kenwood Avenue, Chicago, IL",http://maps.uchicago.edu/farsoutheast/kenwood.html
"6045 South Kenwood Avenue, Room 105A","6045 South Kenwood Avenue, Chicago, IL",http://maps.uchicago.edu/farsoutheast/kenwood.html
"6045 South Kenwood Avenue, Room 105B","6045 South Kenwood Avenue, Chicago, IL",http://maps.uchicago.edu/farsoutheast/kenwood.html
"6045 South Kenwood Avenue, Room 105C","6045 South Kenwood Avenue, Chicago, IL",http://maps.uchicago.edu/farsoutheast/kenwood.html
"6045 South Kenwood Avenue, Room 105D","6045 South Kenwood Avenue, Chicago, IL",http://maps.uchicago.edu/farsoutheast/kenwood.html
"6045 South Kenwood Avenue, Room 107","6045 South Kenwood Avenue, Room 107",http://maps.uchicago.edu/farsoutheast/kenwood.html
"6045 South Kenwood Avenue, Room 115","6045 South Kenwood Avenue, Chicago, IL",http://maps.uchicago.edu/farsoutheast/kenwood.html
"6045 South Kenwood Avenue, Room 119","6045 South Kenwood Avenue, Chicago, IL",http://maps.uchicago.edu/farsoutheast/kenwood.html
"6054 South Drexel Avenue, Conference Room 341","6054 South Drexel Avenue, Chicago, IL",https://maps.uchicago.edu/?location=61st+and+Drexel+Office+Building
"6054 South Drexel Avenue, Room 144","6054 South Drexel Avenue, Chicago, IL",http://maps.uchicago.edu/southwest/
"6054 South Drexel Avenue, Room 144A","6054 South Drexel Avenue, Chicago, IL",http://maps.uchicago.edu/southwest/
"6054 South Drexel Avenue, Room 144B","6054 South Drexel Avenue, Chicago, IL",http://maps.uchicago.edu/southwest/
"6054 South Drexel Avenue, Room 146","6054 South Drexel Avenue, Chicago, IL",http://maps.uchicago.edu/southwest/
"6054 South Drexel Avenue, Room 148","6054 South Drexel Avenue, Chicago, IL",http://maps.uchicago.edu/southwest/
"6054 South Drexel Avenue, Room 149","6054 South Drexel Avenue, Chicago, IL",http://maps.uchicago.edu/southwest/
"6054 South Drexel Avenue, Room 241","6054 South Drexel Avenue, Chicago, IL",http://maps.uchicago.edu/southwest/drexel.html
"6054 South Drexel Avenue, Suite 300","6054 South Drexel Avenue, Chicago, IL",http://maps.uchicago.edu/southwest/
Accelerator Building,"5640 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/northwest/research.html
"Administration Building, Suite 200","5801 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/admin.html
"Administration Building, Suite 417","5801 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/admin.html
"Advanced Photon Source, Building 434","9700 South Cass Avenue, Argonne, IL",http://cars.uchicago.edu
All Residential Dining Halls,,
"Alumni House, Conference Room","5555 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/north/alumnihouse.html
"Alumni House, Library","5555 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/north/alumnihouse.html
"American School, Room 110","850 East 58th Street, Chicago, IL",http://maps.uchicago.edu/westquad/amschool.html
Argonne National Laboratory,"Argonne, IL 60439",http://www.anl.gov/
"Argonne National Laboratory, Bldg 401, Room A1100",,aps.anl.gov
"Argonne National Laboratory, Building 240",,
"Argonne National Laboratory, Building 402 APS Auditorium",,
Arley D. Cathey Dining Commons,"6025 S. Ellis Avenue, Chicago, IL 60637",http://maps.uchicago.edu/south/bjcourts.html
"Arts Incubator, Washington Park","301 E. Garfield Blvd., Washington Park, Chicago, IL",
Auditorium,"1111 East 60th Street, Chicago, IL",http://maps.uchicago.edu/south/lairdbll.html
Bartlett Dining Commons,"5640 South University Avenue, Chicago, IL",http://maps.uchicago.edu/north/bartlett.html
"Bartlett Dining Commons, Arts Rehearsal Space","5640 South University Avenue, Chicago, IL",http://maps.uchicago.edu/north/bartlett.html
"Bartlett Dining Commons, Lounge","5640 South University Avenue, Chicago, IL",http://maps.uchicago.edu/north/bartlett.html
Bartlett Quad,,"http://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&ll=41.792489,-87.599096&spn=0.0023,0.004876&z=18&msid=112106965123750206647.00044d12fd668cf60f489"
"Beecher Hall, Room 101","5844 South University Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/beecher.html
"Beecher Hall, Room 102","5844 South University Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/beecher.html
"Bernard Mitchell Hospital, Room TN208","5815 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/mitchell.html
"Bernard Mitchell Hospital, TW-040","5815 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/mitchell.html
"Billing Hospital, Room L272","950 East 59th Street, Chicago, IL 60637",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room MC 7132","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room E-215","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room G-217","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room H-103","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
